"TOKEN";"REFTEXT"
"_124RBombG";"124th Gds. Bomber Rgt."
"105mmHEAT";"105mm HEAT"
"11mm45ACP";"11,43mm"
"12_7mm";"12,7mm"
"120mmHEAT";"120mm HEAT"
"136mm";"136mm"
"136mmHEAT";"136mm HEAT"
"155mm";"155mm"
"160mm";"160mm"
"220mm";"220mm"
"25mm";"25mm"
"330kg";"330kg"
"35mm";"35mm"
"375kg";"375kg"
"450kg";"450kg"
"454kg";"454kg"
"58mmHEAT";"58mm HEAT"
"64mmHEAT";"64mm HEAT"
"67mmHEAT";"67mm HEAT"
"68mmHEAT";"68mm HEAT"
"70mmHEAT";"70mm HEAT"
"80mmHEAT";"80mm HEAT"
"84mmHEAT";"84mm HEAT"
"85mmHEAT";"85mm HEAT"
"89mmHEAT";"89mm HEAT"
"93mmHEAT";"93mm HEAT"
"AAA";"87mm"
"AACWSMBPQV";"SeaCat"
"AAIUHEQSKB";"M548A2 SUPPLY"
"AAJWCTDKBZ";"11 Dywizja Pancerna"
"AALVGAILXQ";"SARH"
"AAM";"AAM"
"AAPDCBSJTJ";"MG-42/59"
"AAUUXHQSWV";"EE-11 URUTU"
"ABADWHZSCK";"2-95-y Gv. Tank. Polk"
"ABBNPXUAHZ";"Kom./12-ya Gv. Tank. Div."
"ABDMLZXLBS";"CH-53G MUN."
"ABESDAGQJQ";"N.G. M901 ITV"
"ABFHGHQSQY";"Electro-Optical Dazzler inflicts a penalty of 10% ECM on all guided missiles targeting the host ground unit."
"ABFHMYOIRT";"3-4. MSP"
"ABHXWSSYYG";"CENTURION Mk.5 AVRE ROMOR"
"ABHXXGGQAH";"FK20-2 20mm"
"ABJNJWUXBR";"1-55 pz"
"ABPPKWWFIM";"GVARDEITSY (Metis)"
"ABQKCQLERY";"79-YA GV. TANK. DIV."
"ABSBQCYNRM";"III./PR-11"
"ABVHMMYNTR";"Mortier 60mm"
"ABVQQMXMNT";"17-YA GV. TD OFFICIAL BATTLEGROUP"
"ABXEWWLNON";"#CMD PARA. SULTAN"
"ABXZZKEOVW";"M270 MLRS [HE]"
"ABZJZFFCLY";"CETME 306"
"ABZVLZDSML";"LIGHT RIFLES (RCL)"
"ABZZRTXXNU";"Spetz. Otd. Vertoletniy Polk"
"ACAOGGXXIM";"I./PR-11"
"ACAWDQDZZX";"4 pdes"
"ACCLMCNNMU";"2ste Wing"
"ACCWHHPRFW";"M41"
"ACDTKEFKEU";"1. LUFTLANDE-DIVISION"
"ACEANSDDRU";"2-68-y Gv. MSP"
"ACFBRAIIYM";"MOT. RIFLES"
"ACFMDGCSNP";"20-y Otd. Tank. Bat."
"ACFVABOODA";"BM-27 URAGAN"
"ACOKFUBEAA";"Gunship Plane"
"ACPUWIUFYN";"#RECO1 T-64B1 RAZV."
"ACWGOCTCQU";"3-11th Arm. Cavalry Rgt."
"ADBKNTNLBV";"LAW 80"
"ADDJEPCHQB";"M1A1"
"ADDWFTZCMH";"HSS.820"
"ADEDGBNKSU";"931-y ORAP"
"ADJOTWFDWT";"9M14P Malyutka-P"
"ADKSIEEMKY";"Carl Gustav M2"
"ADLBSHWBFM";"47 Painfbat"
"ADNYMLAFDK";"#US 1st Brigade"
